Dataset,Accent,# Speakers,# Hours,Size (GiB),Paper,Access,License
`Common Voice Corpus 10.0`_,--,--,48,1,--,open,`CC0`_
`CSS10`_,--,14.9,1,--,`CSS10 paper`_,open,`Apache License 2.0`_
