Dataset,Accent,# speakers,# Hours,Size (GiB),Paper,Access,License
`Common Voice Corpus 10.0`_,--,--,64,9,--,open,`CC0`_
`CSS10`_,--,6.5,1,--,`CSS10 paper`_,open,`Apache License 2.0`_
