Dataset,Accent,# speakers,# Hours,Size (GiB),Paper,Access,License
`Common Voice Corpus 10.0`_,--,--,9,0.193,--,open,`CC0`_
`voxpopuli`_,--,--,--,--,`VoxPopuli paper`_,open,`CC BY-NC 4.0`_
`NST Danish ASR Database`_,--,616,--,105,--,open,`CC0`_
`NST Danish Dictation`_,--,151,--,6.7,--,open,`CC0`_
`NST Danish Speech Synthesis`_,--,1,--,3.8,--,open,`CC0`_
`FT Speech`_,--,434,1857,150,`FT Speech paper`_,open,`FT Speech License`_
